© 2000-2022 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Cellular Movement	Chemotaxis	2.66E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CD38,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,ENPP2,FPR2,IL12B,IL1A,IL1B,MDK,PDE4B,PLXNA4,PTGES,PTGS2,S100A12,SLAMF1,SOCS3,THBS1,TNFAIP6,WNT5A	32
Cellular Movement	Chemotaxis of myeloid cells	2.82E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B,MDK,PDE4B,PTGES,S100A12,SLAMF1,THBS1,TNFAIP6	24
Cell Death and Survival	Apoptosis	3.02E-16	ADORA2A,AIM2,ANGPTL4,APOBEC3A,BCL2L14,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CEMIP,CFB,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL8,CYP2E1,DDX58,EHF,ENPP2,EREG,FSIP1,G0S2,GBP5,HPN,HSH2D,IDO1,IFI27,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,JAK3,LAG3,MAP1LC3A,MDK,MT1F,MT2A,MX1,NAMPT,NCF1,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,SLAMF1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A,XAF1,ZBP1	74
Gastrointestinal Disease,Immunological Disease,Ophthalmic Disease,Organismal Injury and Abnormalities	Sjögren syndrome	3.08E-16	CCL19,CCL20,CCL4,CCL5,CCR7,CXCL10,CXCL13,CXCL3,IFIT3,IFITM1,IL12B,IL1A,NCF1,SOCS3,STAT4,TNFSF10	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Migration of antigen presenting cells	3.27E-16	CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CD80,CXCL1,CXCL10,CXCL13,CXCL3,CXCL8,FPR2,IL12B,IL1B,MDK,PDPN,PTGS2,VCAN,WNT5A	20
Cell Morphology	Polarization of blood cells	6.41E-16	ADORA2A,CCL19,CCL5,CCR7,CXCL10,EBI3,ENPP2,IL12B,IL1A,IL1B,IL27,IRF4,NAMPT,SLAMF1,SOCS3,STAT4,WNT5A,ZBP1	18
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Lymphoid Tissue Structure and Development	Homing of T lymphocytes	7.12E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL8,IL12B,JAK3,SOCS3,THBS1,WNT5A	16
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Lymphoid Tissue Structure and Development	Homing of lymphocytes	7.67E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,ENPP2,IL12B,JAK3,SOCS3,THBS1,WNT5A	18
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Lymphoid Tissue Structure and Development	Chemotaxis of T lymphocytes	7.71E-16	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL8,IL12B,SOCS3,THBS1,WNT5A	15
Organismal Injury and Abnormalities	Non-malignant disorder	1.21E-15	CA12,CCL19,CCL20,CCL23,CCL4,CCL4L1/CCL4L2,CCL5,CCR7,CD80,CEMIP,CFB,CRLF2,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,FPR2,G0S2,HAPLN3,IFI44L,IFIT1,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF4,ISG20,ITGB8,JAK3,KCNJ5,MN1,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,NAMPT,NCF1,NKG7,PAX5,PDE4B,PLAC8,PTGES,PTGS2,SERPINB2,SNAI1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,UNC13A,VCAN,XAF1	59
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemotaxis of mononuclear leukocytes	1.87E-15	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,FPR2,IL12B,IL1B,S100A12,SOCS3,THBS1,WNT5A	19
Cancer,Organismal Injury and Abnormalities	Cancer of cells	2.02E-15	ABTB2,ACOD1,ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD33B,APOBEC3A,C1QTNF1,CALHM6,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,FPR2,GCH1,HAPLN3,HERC5,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MAP1LC3A,MN1,MT1E,MT1G,MT1H,MX1,MYO1G,NAMPT,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1	103
Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Inflammation of respiratory system component	2.55E-15	ADORA2A,AIM2,CCL5,CCR7,CD70,CLEC4D,CRLF2,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,EBI3,FPR2,GCH1,IL12B,IL15RA,IL1B,IL27,IL2RA,JAK3,LAG3,NCF1,PDE4B,PDPN,PTGES,PTGS2,SOCS2,SOCS3,THBS1,TNFAIP6,WNT5A	32
Organismal Injury and Abnormalities	Fibrosis	2.65E-15	ADAM19,ADGRE1,ADORA2A,AIM2,CCL4,CCL5,CCL8,CCR7,CD38,CD80,CLEC4E,CRLF2,CXCL13,CXCL2,CXCL8,EBI3,ENPP2,GBP4,GBP5,IDO1,IFI27,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF4,MDK,NAMPT,NCF1,PLAC8,PTGIR,PTGS2,S100A12,SLC2A6,SNAI1,SOCS3,STAT4,THBS1,TNFSF10,WNT5A	41
Immunological Disease,Organismal Injury and Abnormalities	Hypersensitive reaction	2.76E-15	CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4D,CLEC4E,CXCL10,CXCL8,FPR2,IDO1,IFI27,IFITM1,IL12B,IL1A,IL1B,IL27,IL2RA,JAK3,MX1,NCF1,PDE4B,PTGES,PTGIR,PTGS2,SOCS2,SOCS3,TNFSF10	28
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Infiltration by neutrophils	3.14E-15	ADORA2A,AIM2,CCL4,CFB,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL1A,IL1B,IL27,IL2RA,IRF7,JAK3,MDK,NCF1,PTGS2,SOCS3	20
Cellular Function and Maintenance	Function of leukocytes	3.33E-15	ADGRE1,ADORA2A,AIM2,CCL5,CCR7,CD70,CD80,CLEC4E,CXCL10,CXCL8,DDX58,EBI3,FPR2,HSH2D,IDO1,IL12B,IL15RA,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MYO1G,PTGS2,SLAMF1,STAT4,TNFSF10	28
Cell Death and Survival,Organismal Injury and Abnormalities	Necrosis	3.62E-15	ADORA2A,AIM2,ANGPTL4,APOBEC3A,BCL2L14,C1QTNF1,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CEMIP,CFB,CXCL1,CXCL10,CXCL2,CXCL3,CXCL8,CYP2E1,DDX58,EHF,ENPP2,EREG,FSIP1,G0S2,GBP5,GCH1,HPN,HSH2D,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,JAK3,LAG3,MAP1LC3A,MCOLN2,MDK,MT1F,MT1X,MT2A,MX1,NAMPT,NCF1,PAX5,PDE4B,PLAC8,PLXNA4,PRAME,PTGES,PTGS2,SERPINB2,SLC1A2,SLC8A3,SNAI1,SOCS3,STAT4,THBS1,TNFSF10,TRAF1,VCAN,WNT5A,XAF1,ZBP1	74
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Cellular infiltration by mononuclear leukocytes	3.67E-15	ADORA2A,AIM2,CCL19,CCL4,CCL5,CCR7,CRLF2,CXCL10,CXCL8,IL12B,IL15RA,IL1A,IL1B,IL2RA,IRF7,JAK3,LAG3,MDK,PTGES,PTGS2,TNFSF10	21
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Chronic skin disorder	4.94E-15	CCL20,CCL5,CXCL1,CXCL10,CXCL5,CXCL8,CYP2E1,EREG,IFIT1,IFITM1,IL12B,IL1A,IL2RA,IRF7,JAK3,LAD1,MT1X,MX1,PDE4B,S100A12,WNT5A	21
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of leukocytes	5.15E-15	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,FPR2,IL12B	12
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	Activation of myeloid cells	5.34E-15	CCL23,CCL4,CCL5,CCL8,CD226,CD80,CLEC4E,CRLF2,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,FPR2,IL1A,IL1B,IL27,NAMPT,PTGES,PTGS2,S100A12,STAT4,THBS1,TNFSF10,WNT5A	25
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response,Lymphoid Tissue Structure and Development	Chemotaxis of lymphocytes	6.17E-15	ADORA2A,CCL19,CCL20,CCL23,CCL4,CCL5,CCL8,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,IL12B,SOCS3,THBS1,WNT5A	16
Cell-To-Cell Signaling and Interaction,Cellular Growth and Proliferation	Stimulation of cells	6.93E-15	ADORA2A,CCL19,CCL20,CCL5,CD70,CD80,CLEC4E,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,IL12B,IL1A,IL1B,IL27,PLXNA4,PTGES,PTGS2,SLAMF1,THBS1,TNFSF10,WNT5A	23
Inflammatory Response	Innate immune response	7.28E-15	ACOD1,APOBEC3A,CCL5,CLEC4D,CLEC4E,CXCL1,CXCL10,CXCL8,DDX58,EREG,FPR2,GBP5,IFI27,IFIT2,IRF7,ISG15,MX1,NCF1,S100A12,ZBP1	20
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Chemoattraction of phagocytes	7.53E-15	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,FPR2,IL12B	11
Cancer,Organismal Injury and Abnormalities	Neoplasia of cells	8.05E-15	ABTB2,ACOD1,ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,ANKRD33B,APOBEC3A,BCL2L14,C1QTNF1,CALHM6,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CFB,CLEC4D,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL5,CXCL8,CYP2E1,DDX58,EBI3,EHF,ENPP2,EPSTI1,EREG,FPR2,G0S2,GCH1,HAPLN3,HERC5,HSH2D,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MAP1LC3A,MN1,MT1E,MT1G,MT1H,MX1,MYO1G,NAMPT,NSUN7,OASL,PANX2,PAX5,PDE4B,PDPN,PLAC8,PLXNA4,PRAME,PTGES,PTGIR,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLAMF1,SLC1A2,SLC2A6,SLC8A3,SLCO5A1,SNAI1,SOCS2,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,WFDC21P,WNT5A,XAF1	109
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of antigen presenting cells	9.16E-15	CCL19,CCL20,CCL4,CCL5,CLEC4E,CXCL10,CXCL3,CXCL8,FPR2,IDO1,IL1B,IRF7,MCOLN2,MDK,SNAI1,THBS1	16
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of granulocytes	9.34E-15	CCL19,CCL20,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL15RA,IL1A,IL1B,MDK,PDE4B,THBS1,VCAN	20
Cell Morphology	Polarization of leukocytes	9.40E-15	ADORA2A,CCL19,CCL5,CCR7,EBI3,ENPP2,IL12B,IL1A,IL1B,IL27,IRF4,NAMPT,SLAMF1,SOCS3,STAT4,WNT5A,ZBP1	17
Infectious Diseases,Organismal Injury and Abnormalities	Replication of virus	1.23E-14	CCL4,CCL5,CD38,CXCL10,CXCL3,CXCL8,CYP2E1,DDX58,EBI3,HERC5,IFI27,IFIT1,IFITM1,IL1A,IL1B,IL27,IRF7,ISG15,ISG20,MAP1LC3A,MX1,MX2,OASL,PTGS2,RSAD2,S100A12,SOCS2,SOCS3,STAT4,TNFSF10,ZBP1	31
Cell-To-Cell Signaling and Interaction,Cellular Movement	Attraction of myeloid cells	1.25E-14	CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B,VCAN	11
Organismal Injury and Abnormalities,Respiratory Disease	Chronic obstructive pulmonary disease	1.27E-14	ADAM19,ADORA2A,CA12,CCL5,CXCL3,CXCL8,IL1B,IL2RA,IL7R,MT1E,MT1F,MT1G,MT1H,MT1M,MT1X,MT2A,PDE4B,PTGIR,PTGS2,WNT5A	20
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of dendritic cells	1.43E-14	CCL19,CCL20,CCL4,CCL5,CCR7,CD38,CD80,CXCL10,CXCL13,CXCL8,FPR2,IL12B,IL1A,IL1B,IRF7,MDK,PDPN,SLAMF1	18
Cell-mediated Immune Response,Cellular Development,Cellular Function and Maintenance,Cellular Growth and Proliferation,Embryonic Development,Hematological System Development and Function,Hematopoiesis,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	T cell development	1.44E-14	CCL5,CCR7,CD226,CD70,CD80,CLEC4E,CXCL1,CXCL10,CXCL5,DDX58,IDO1,IL12B,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,MDK,PAX5,PTGS2,RSAD2,SOCS2,SOCS3,STAT4,TNFSF10,WNT5A	30
Hematological System Development and Function,Tissue Morphology	Quantity of granulocytes	3.17E-14	ADORA2A,CLEC4E,CRLF2,CXCL2,CXCL8,DDX58,EBI3,FPR2,IL1A,IL1B,IL2RA,IRF4,JAK3,MDK,PDE4B,PLAC8,PTGES,PTGIR,PTGS2,SERPINB2,SOCS3,STAT4,THBS1,TNFSF10	24
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking	Adhesion of immune cells	3.31E-14	ADORA2A,CCL19,CCL20,CCL4,CCL5,CCR7,CD226,CD38,CD80,CXCL1,CXCL10,CXCL13,CXCL2,CXCL3,CXCL8,FPR2,IL1A,IL1B,IL7R,JAK3,MYO1G,PTGS2,SOCS3,THBS1	24
Cell-mediated Immune Response,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Movement of CD4+ T-lymphocytes	3.63E-14	ADORA2A,CCL19,CCL20,CCL4,CCL5,CCR7,CRLF2,CXCL1,CXCL10,ENPP2,IL12B,IL15RA,IRF7,LAG3	14
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	T cell response	3.77E-14	CCL19,CD226,CD70,CD80,CXCL8,EBI3,IL12B,IL1B,IL27,IL2RA,IL7R,ITGB8,LAG3,NAMPT,OASL,SOCS3,STAT4	17
Infectious Diseases,Organismal Injury and Abnormalities,Respiratory Disease	Infection of respiratory tract	4.13E-14	CCL20,CCL4,CCL5,CCR7,CD70,CLEC4E,CXCL10,CXCL2,CXCL3,CXCL8,DDX58,IL12B,IL1A,IL1B,IL2RA,IRF7,NCF1,PTGS2,S100A12,STAT4	20
Cell Morphology	Polarization of mononuclear leukocytes	4.13E-14	CCL19,CCR7,EBI3,ENPP2,IL12B,IL1A,IL1B,IL27,IRF4,NAMPT,SLAMF1,SOCS3,STAT4	13
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	Recruitment of mononuclear leukocytes	4.40E-14	CCL19,CCL20,CCL23,CCL4,CCL5,CCR7,CLEC4E,CXCL10,CXCL13,CXCL3,CXCL8,DDX58,FPR2,IL15RA,IL1B,MCOLN2	16
Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Respiratory Disease	Inflammation of lung	4.70E-14	ADORA2A,AIM2,CCR7,CD70,CLEC4D,CRLF2,CXCL1,CXCL2,CXCL3,FPR2,GCH1,IL12B,IL15RA,IL1B,IL27,IL2RA,JAK3,LAG3,NCF1,PTGES,PTGS2,SOCS2,THBS1,TNFAIP6,WNT5A	25
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Cell movement of macrophages	5.14E-14	ADAM19,ADORA2A,AIM2,C1QTNF1,CCL19,CCL4,CCL5,CXCL1,CXCL10,CXCL3,CXCL8,FPR2,IL12B,IL15RA,IL1A,IL1B,MDK,PTGES,PTGS2,SLAMF1,THBS1,VCAN,WNT5A	23
Cell Morphology	Polarization of cells	5.58E-14	ADORA2A,CCL19,CCL5,CCR7,CXCL10,CXCL8,EBI3,ENPP2,IL12B,IL1A,IL1B,IL27,IRF4,NAMPT,SLAMF1,SOCS3,STAT4,WNT5A,ZBP1	19
Cell Death and Survival,Organismal Injury and Abnormalities	Cell death of mononuclear leukocytes	5.92E-14	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,CD80,CXCL10,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,LAG3,PAX5,THBS1,TNFSF10,TRAF1,WNT5A	25
Cellular Function and Maintenance	Function of lymphatic system cells	6.94E-14	ADGRE1,ADORA2A,CCL5,CCR7,CD70,CD80,CXCL10,EBI3,FPR2,HSH2D,IL12B,IL15RA,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MYO1G,SLAMF1,STAT4,TNFSF10	22
Inflammatory Disease,Organismal Injury and Abnormalities	Severe inflammatory disorder	8.72E-14	ADORA2A,CCL5,CCR7,CD80,CLEC4E,CXCL10,CXCL8,IFIT2,IFIT3,IL12B,IL1A,IL1B,IRF7,ISG15,JAK3,NCF1,PDE4B,PDPN,PTGS2,S100A12,STAT4	21
Cell-To-Cell Signaling and Interaction,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	Recruitment of neutrophils	8.77E-14	CCL19,CCL20,CCL4,CCL5,CCR7,CLEC4E,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,FPR2,IL1A,IL1B,MDK,PDE4B,VCAN	18
Cancer,Hematological Disease,Organismal Injury and Abnormalities	Hematopoietic neoplasm	9.60E-14	ADAM19,ADORA2A,AIM2,ANGPTL4,ANKRD22,APOBEC3A,APOL3,BCL2L14,C1QTNF1,CCL19,CCL20,CCL4,CCL5,CCL8,CCR7,CD226,CD300E,CD38,CD70,CD80,CEMIP,CMPK2,CRLF2,CXCL1,CXCL10,CXCL13,CXCL2,CXCL8,CYP2E1,DDX58,EBI3,ENPP2,EPSTI1,FPR2,HAPLN3,IDO1,IFI27,IFI44L,IFIT1,IFIT2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,ISG15,ISG20,JAK3,LAD1,LAG3,MN1,MX1,MYO1G,NAMPT,NKX3-1,NSUN7,OASL,PAX5,PDE4B,PLAC8,PLXNA4,PTGS2,RSAD2,SERPINB2,SIGLEC10,SLC1A2,SLC8A3,SNAI1,SOCS2,STAT4,THBS1,TNFAIP6,TNFSF10,TRAF1,UNC13A,VCAN,WNT5A,XAF1,ZBP1	83
Cell Morphology	Polarization of T lymphocytes	1.30E-13	CCL19,CCR7,EBI3,ENPP2,IL12B,IL1A,IL1B,IL27,IRF4,SLAMF1,SOCS3,STAT4	12
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Exanthem of skin	1.42E-13	CCL20,CCL5,CXCL1,CXCL10,CXCL5,CXCL8,CYP2E1,IL12B,IL1A,IL1B,IL2RA,JAK3,MT1X,PDE4B,S100A12,WNT5A	16
Cell-To-Cell Signaling and Interaction,Cellular Movement	Chemoattraction	1.56E-13	CCL19,CCL20,CCL4,CCL5,CXCL1,CXCL10,CXCL13,CXCL3,CXCL5,CXCL8,FPR2,IL12B,IL1B	13
Connective Tissue Disorders,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	Polyarthritis	1.66E-13	CCL20,CCL4,CCL5,CD70,CD80,FPR2,IL12B,IL1A,IL1B,JAK3,NAMPT,PTGIR,PTGS2,S100A12,SLC1A2,STAT4,THBS1	17
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of regulatory T lymphocytes	1.67E-13	ADORA2A,CCL19,CCL4,CCL5,CCR7,CD38,CD70,CD80,EBI3,IL12B,IL2RA,IL7R,ITGB8,MDK,THBS1,WNT5A	16
Cell Death and Survival,Organismal Injury and Abnormalities	Cell death of T lymphocytes	1.73E-13	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,CXCL10,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,LAG3,THBS1,TNFSF10,TRAF1,WNT5A	22
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	Quantity of T lymphocytes	1.77E-13	ADORA2A,AIM2,CCL19,CCL4,CCL5,CCR7,CD38,CD70,CD80,CRLF2,CXCL10,DDX58,EBI3,HESX1,IL12B,IL15RA,IL27,IL2RA,IL7R,IRF4,ITGB8,JAK3,LAG3,MDK,PTGIR,SIGLEC1,SIGLEC10,SOCS3,THBS1,WNT5A	30
Gastrointestinal Disease,Organismal Injury and Abnormalities	Benign oral disorder	1.79E-13	CCL19,CCL20,CCL4,CCL4L1/CCL4L2,CCL5,CCR7,CXCL10,CXCL13,CXCL3,CXCL8,G0S2,IFIT3,IFITM1,IL12B,IL1A,IL1B,IL7R,ITGB8,MN1,NAMPT,NCF1,NKG7,PDE4B,PLAC8,PTGS2,SNAI1,SOCS3,STAT4,TNFSF10	29
Metabolic Disease,Organismal Injury and Abnormalities	Glucose metabolism disorder	1.82E-13	ADORA2A,AIM2,ANGPTL4,CA12,CALHM6,CCL19,CCL4,CCL5,CCR7,CD226,CD38,CD70,CD80,CFB,CXCL1,CXCL10,CXCL13,CXCL8,CYP2E1,EBI3,ENPP2,G0S2,GBP4,GFPT2,HPN,IFIT1,IFIT2,IFIT3,IL12B,IL15RA,IL1A,IL1B,IL2RA,IL7R,IRF4,IRF7,KCNJ5,LINC01619,MT1G,MT2A,NCF1,PDE4B,PTGIR,PTGS2,RSAD2,SIGLEC10,SOCS2,SOCS3,STAT4,THBS1,TNFSF10,XAF1,ZBP1	53
Cancer,Organismal Injury and Abnormalities	Invasive tumor	2.01E-13	ADORA2A,ANGPTL4,CALHM6,CCL19,CCL5,CCL8,CCR7,CD226,CD80,CEMIP,CLEC4D,CXCL1,CXCL10,CXCL2,CXCL3,CXCL5,CXCL8,DDX58,EBI3,ENPP2,EPSTI1,G0S2,GCH1,IDO1,IFITM1,IL15RA,IL1A,IL1B,IL2RA,IRF4,IRF7,ISG15,JAK3,LAG3,MT1E,MX1,NKX3-1,PRAME,PTGS2,SERPINB2,SNAI1,SOCS3,THBS1,TNFAIP6,UNC13A,VCAN,WFDC21P,WNT5A,ZBP1	49
Cellular Function and Maintenance,Hematological System Development and Function	Function of lymphocytes	2.09E-13	ADGRE1,ADORA2A,CCL5,CCR7,CD70,CD80,CXCL10,EBI3,HSH2D,IL12B,IL15RA,IL1B,IL27,IL2RA,IRF7,JAK3,LAG3,MYO1G,SLAMF1,STAT4,TNFSF10	21
Cell Death and Survival,Organismal Injury and Abnormalities	Cell death of lymphocytes	2.10E-13	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,CD80,CXCL10,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,LAG3,THBS1,TNFSF10,TRAF1,WNT5A	24
Inflammatory Response	Cell-mediated response	2.29E-13	CCL5,CCR7,CD226,CD80,CXCL10,CXCL8,EBI3,IDO1,IL12B,IL15RA,IL1B,IL7R,ITGB8,LAG3,NAMPT,NCF1,SOCS2,STAT4	18
Organismal Survival	Survival of organism	2.36E-13	ADORA2A,AIM2,C1QTNF1,CD80,CFB,CLEC4D,CXCL10,CXCL2,CXCL3,DDX58,EREG,IDO1,IL12B,IL1A,IL1B,IL27,IL2RA,IL7R,IRF7,LAG3,MDK,MX1,NAMPT,NCF1,NKX3-1,PTGES,PTGS2,RSAD2,SLC1A2,SNAI1,SOCS3,STAT4,THBS1,TNFAIP6,TNFSF10,WNT5A	36
Organismal Injury and Abnormalities,Psychological Disorders	Alcohol use disorder	2.43E-13	ADORA2A,CA12,CXCL1,CXCL10,CXCL2,CXCL5,CXCL8,CYP2E1,IFIT2,IFIT3,IL1A,IL1B,IRF7,ISG15,PDE4B	15
Cellular Growth and Proliferation	Expansion of cells	2.45E-13	ADORA2A,CCL19,CCR7,CD70,CD80,EREG,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,JAK3,LAG3,MDK,PAX5,PTGS2,SIGLEC10,SLAMF1,STAT4,TNFAIP6,WNT5A	22
Dermatological Diseases and Conditions,Organismal Injury and Abnormalities	Plaque psoriasis	2.65E-13	CCL20,CCL5,CXCL1,CXCL10,CXCL5,CXCL8,CYP2E1,IL12B,IL1A,IL2RA,JAK3,MT1X,PDE4B,S100A12,WNT5A	15
Cell Death and Survival,Organismal Injury and Abnormalities	Apoptosis of mononuclear leukocytes	3.26E-13	ADORA2A,CCL19,CCL4,CCL5,CD226,CD38,CD70,CD80,HSH2D,IDO1,IL15RA,IL1A,IL1B,IL27,IL2RA,IL7R,IRF4,JAK3,PAX5,THBS1,TNFSF10,TRAF1,WNT5A	23
